Item_2,Value,FamId,is_repeated
SCENES24,1,109,2
SCENES11,4,109,1
SCENES8,5,109,1
SCENES5,NA,109,2
SCENES22,NA,109,2
SCENES14,NA,109,2
SCENES39,1,109,2
SCENES42,NA,109,2
SCENES29,7,109,1
SCENES13,7,109,1
SCENES16,NA,109,2
SCENES3,1,109,1
SCENES4,2,109,1
SCENES39,1,109,1
SCENES14,7,109,1
SCENES42,1,109,1
SCENES41,NA,109,2
SCENES48,5,109,1
SCENES40,5,109,1
SCENES1,3,109,1
SCENES44,5,109,1
SCENES5,5,109,1
SCENES7,2,109,1
SCENES35,2,109,1
SCENES15,7,109,1
SCENES4,NA,109,2
SCENES18,1,109,2
SCENES1,NA,109,2
SCENES29,NA,109,2
SCENES47,7,109,2
SCENES25,1,109,1
SCENES13,NA,109,2
SCENES20,2,109,1
SCENES15,7,109,2
SCENES7,NA,109,2
SCENES8,NA,109,2
SCENES16,7,109,1
SCENES28,6,109,1
SCENES27,4,109,1
SCENES40,NA,109,2
SCENES6,1,109,1
SCENES10,NA,109,2
SCENES31,7,109,1
SCENES31,NA,109,2
SCENES35,NA,109,2
SCENES22,1,109,1
SCENES49,2,109,1
SCENES43,2,109,2
SCENES48,NA,109,2
SCENES28,NA,109,2
SCENES37,6,109,1
SCENES23,NA,109,2
SCENES2,NA,109,2
SCENES3,1,109,2
SCENES24,1,109,1
SCENES36,1,109,2
SCENES17,4,109,1
SCENES17,NA,109,2
SCENES25,NA,109,2
SCENES12,7,109,1
SCENES36,1,109,1
SCENES38,1,109,1
SCENES6,1,109,2
SCENES30,1,109,2
SCENES49,NA,109,2
SCENES32,NA,109,2
SCENES43,2,109,1
SCENES18,3,109,1
SCENES26,1,109,1
SCENES41,1,109,1
SCENES9,5,109,1
SCENES46,NA,109,2
SCENES2,1,109,1
SCENES26,NA,109,2
SCENES12,7,109,2
SCENES38,NA,109,2
SCENES32,1,109,1
SCENES21,6,109,1
SCENES11,NA,109,2
SCENES20,NA,109,2
SCENES27,5,109,2
SCENES19,NA,109,2
SCENES21,5,109,2
SCENES33,5,109,1
SCENES30,1,109,1
SCENES44,NA,109,2
SCENES10,4,109,1
SCENES19,1,109,1
SCENES47,7,109,1
SCENES50,NA,109,2
SCENES37,NA,109,2
SCENES33,5,109,2
SCENES34,NA,109,2
SCENES9,6,109,2
SCENES23,3,109,1
SCENES34,4,109,1
SCENES46,6,109,1
SCENES9,4,11,2
SCENES29,6,11,1
SCENES30,5,11,2
SCENES35,NA,11,2
SCENES25,1,11,1
SCENES47,2,11,1
SCENES6,4,11,1
SCENES8,4,11,1
SCENES24,4,11,2
SCENES15,6,11,1
SCENES30,5,11,1
SCENES7,4,11,1
SCENES28,5,11,1
SCENES18,6,11,2
SCENES7,NA,11,2
SCENES11,NA,11,2
SCENES33,6,11,2
SCENES47,2,11,2
SCENES32,NA,11,2
SCENES42,1,11,1
SCENES13,2,11,1
SCENES43,4,11,2
SCENES39,1,11,1
